Key,weightNO3,iteration,weightNH4,weightNO2,Hybrid2 (nM/day),Feature,Nitrification (nM/day),f,Denit fromNO2- (nM/day),cost,Denit from NO3- (nM/day),Station,Denit from NO2- (nM/day)
PS2Deep ODZ core,0.45,24,0.45,0.1,0.0075844000038789,Deep ODZ core,0.0,0.4242869058663189,,4.618208487072992,0.2409666312330673,PS2,0.0049522089987499
PS2Deep ODZ core,0.45,47,0.45,0.1,0.0006570102602248,Deep ODZ core,1.0910409786779991e-05,0.0,,4.445592157288163,0.1507523823868573,PS2,0.0043650215917299
PS2Deep ODZ core,0.45,44,0.45,0.1,0.0,Deep ODZ core,7.890201251911752e-05,0.0,,4.114738659350383,0.1685015699404843,PS2,0.0054203980695826
PS2Deep ODZ core,0.45,43,0.45,0.1,0.0029483015508467,Deep ODZ core,0.0,0.0,,3.881445851478404,0.1578867010270774,PS2,0.0051444503824016
PS2Deep ODZ core,0.45,46,0.45,0.1,0.0003808655126779,Deep ODZ core,0.0,0.0,,4.519521705790649,0.2761267356581263,PS2,0.0050009600459415
PS2Deep ODZ core,0.45,28,0.45,0.1,0.0216969793581429,Deep ODZ core,0.0,0.4946725999517595,,4.377866382575089,0.2408099469516309,PS2,0.0051917908232457
PS2Deep ODZ core,0.45,41,0.45,0.1,0.0,Deep ODZ core,0.0026788900287687,0.0,,3.681069145923858,0.182051187361685,PS2,0.0052362576878985
PS2Deep ODZ core,0.45,58,0.45,0.1,5.517452447013013e-07,Deep ODZ core,8.053839787822527e-05,0.0,,4.464966035020128,0.1888501016025098,PS2,0.0053874252833769
PS2Deep ODZ core,0.45,52,0.45,0.1,0.004544984846533,Deep ODZ core,0.0,0.0,,3.871906370929665,0.1583493925421318,PS2,0.0054920916080078
PS2Deep ODZ core,0.45,53,0.45,0.1,0.0007821332300037,Deep ODZ core,0.0,0.0,,4.257940502015477,0.2406628839013803,PS2,0.0046873440164794
PS2Deep ODZ core,0.45,38,0.45,0.1,0.0204515036872848,Deep ODZ core,0.0,0.4968223828378574,,3.892050904277628,0.1784263295388073,PS2,0.0052966943706944
