Key,Hybrid2 (nM/day),weightNO3,weightNH4,Station,f,iteration,cost,Denit from NO3- (nM/day),weightNO2,Denit fromNO2- (nM/day),Nitrification (nM/day),Feature,Denit from NO2- (nM/day)
PS2PNM,0.0006489244559326,0.3333333333333333,0.3333333333333333,PS2,0.5385421141844043,14,5.304867944395699,0.0150755636855249,0.3333333333333333,,0.0003368955995978,PNM,0.0
PS2PNM,0.0006679947817133,0.3333333333333333,0.3333333333333333,PS2,0.537459165522428,9,5.304085163324212,0.0132229529546719,0.3333333333333333,,0.0004103281918974,PNM,0.0
PS2PNM,0.0006969427247566,0.3333333333333333,0.3333333333333333,PS2,0.5269623624153008,5,5.303497254638444,0.009359676552266,0.3333333333333333,,0.0003347442058384,PNM,0.0
PS2PNM,0.0006680883808829,0.3333333333333333,0.3333333333333333,PS2,0.5027487700444861,6,5.304702500522467,0.0130040270357533,0.3333333333333333,,0.0003326015613934,PNM,0.0
PS2PNM,0.0006278447499827,0.3333333333333333,0.3333333333333333,PS2,0.5795606481285714,19,5.30373464645887,0.0114419740060252,0.3333333333333333,,0.0003869555275223,PNM,0.0
PS2PNM,0.0006428465085351,0.3333333333333333,0.3333333333333333,PS2,0.5996880287339807,1,5.303371813961662,0.0108336789767742,0.3333333333333333,,0.0002867069501642,PNM,0.0
PS2PNM,0.0006731979536705,0.3333333333333333,0.3333333333333333,PS2,0.4540912958475319,13,5.303152850313555,0.0117231531995974,0.3333333333333333,,0.0002403013596124,PNM,0.0
PS2PNM,0.0006356625657744,0.3333333333333333,0.3333333333333333,PS2,0.5628648164092173,18,5.304912869288501,0.0130642551009511,0.3333333333333333,,0.0002902497691475,PNM,0.0
PS2PNM,0.000663782729877,0.3333333333333333,0.3333333333333333,PS2,0.5895996744273736,3,5.302613543926045,0.0130915434660887,0.3333333333333333,,0.0003646555116554,PNM,0.0
PS2PNM,0.0006848951136394,0.3333333333333333,0.3333333333333333,PS2,0.4480888712683325,11,5.302886740793164,0.0126522421011031,0.3333333333333333,,0.000225108932464,PNM,0.0
PS2PNM,0.0006005387748443,0.3333333333333333,0.3333333333333333,PS2,0.5879924836329776,8,5.30306706809696,0.0144156381815866,0.3333333333333333,,0.0003159763044317,PNM,0.0
PS2PNM,0.0006735956592095,0.3333333333333333,0.3333333333333333,PS2,0.4941533976930817,2,5.304416604195554,0.0146588171020123,0.3333333333333333,,0.0002374105800593,PNM,0.0
PS2PNM,0.0006474455075992,0.3333333333333333,0.3333333333333333,PS2,0.5895972350438017,7,5.30262442336193,0.0152040146152744,0.3333333333333333,,0.0003944579394117,PNM,0.0
PS2PNM,0.0006726653209248,0.3333333333333333,0.3333333333333333,PS2,0.4674234858907903,17,5.304612148031612,0.0135923795910556,0.3333333333333333,,0.0002521481768082,PNM,0.0
PS2PNM,0.0006577602398826,0.3333333333333333,0.3333333333333333,PS2,0.5500397298621611,15,5.304054793176987,0.0129763267496967,0.3333333333333333,,0.0003486494398926,PNM,0.0
PS2PNM,0.0007009213924957,0.3333333333333333,0.3333333333333333,PS2,0.4477051757496206,16,5.304164432585688,0.0128210184696755,0.3333333333333333,,0.000288362903297,PNM,0.0
PS2PNM,0.0006497331947351,0.3333333333333333,0.3333333333333333,PS2,0.5883444484238984,4,5.30449396688719,0.0121172892430952,0.3333333333333333,,0.0002901847095576,PNM,0.0
PS2PNM,0.0006810731836348,0.3333333333333333,0.3333333333333333,PS2,0.5056406836662815,12,5.303766522573806,0.0113792721771392,0.3333333333333333,,0.0003460917914035,PNM,0.0
PS2PNM,0.0007022113903886,0.3333333333333333,0.3333333333333333,PS2,0.4699367812473095,10,5.303533617330617,0.0141558443075217,0.3333333333333333,,0.0002877379640477,PNM,0.0
