Key,Denit from NO3- (nM/day),Feature,Station,weightNO2,Denit fromNO2- (nM/day),f,Hybrid2 (nM/day),weightNO3,weightNH4,cost,iteration,Nitrification (nM/day),Denit from NO2- (nM/day)
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001678012787918,0.3333333333333333,0.3333333333333333,0.3310256787196676,3,7.455381288090068e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001559615102974,0.3333333333333333,0.3333333333333333,0.3312014838298478,6,5.77441442668183e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.00015387101113,0.3333333333333333,0.3333333333333333,0.3305965166270248,12,7.584704288246644e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001665641973008,0.3333333333333333,0.3333333333333333,0.3306861293714698,14,7.021103825486391e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001771088810923,0.3333333333333333,0.3333333333333333,0.329975657790046,8,8.742566976884142e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001533459606347,0.3333333333333333,0.3333333333333333,0.3331043417900418,17,8.129650156786255e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001569458468017,0.3333333333333333,0.3333333333333333,0.3339598525350441,13,5.671424864321652e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001627280767181,0.3333333333333333,0.3333333333333333,0.3312295812138531,2,7.304583914927227e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002158052623258,0.3333333333333333,0.3333333333333333,0.3313359245531293,5,0.0,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002088622477674,0.3333333333333333,0.3333333333333333,0.3276164429307174,15,0.0,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,0.999996482132842,0.000207615974822,0.3333333333333333,0.3333333333333333,0.3294244713804555,16,1.079562950545868e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001757881620029,0.3333333333333333,0.3333333333333333,0.328990099816972,23,6.952838686912258e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.000174809041086,0.3333333333333333,0.3333333333333333,0.3280666449432994,24,6.644279200771348e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001662828666408,0.3333333333333333,0.3333333333333333,0.3295412368545064,26,6.7095136575278885e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001698751715794,0.3333333333333333,0.3333333333333333,0.3284976227493581,28,5.448777315670708e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,0.9998902802311024,0.0002062357487269,0.3333333333333333,0.3333333333333333,0.3263503070416543,19,1.2628327841034924e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002238000372841,0.3333333333333333,0.3333333333333333,0.3336297695567408,18,0.0,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002006544977248,0.3333333333333333,0.3333333333333333,0.3285877024337813,0,1.1923289644431662e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001380326301181,0.3333333333333333,0.3333333333333333,0.3349336621694488,32,6.300569213922316e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002040200656969,0.3333333333333333,0.3333333333333333,0.3252512679495845,1,1.7268237943164248e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001612487968134,0.3333333333333333,0.3333333333333333,0.329972397948963,33,7.788907783585889e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002295760398068,0.3333333333333333,0.3333333333333333,0.3366274426099014,4,9.808936828077545e-06,0.0
