Key,f,weightNO2,weightNH4,Denit from NO3- (nM/day),Station,Denit fromNO2- (nM/day),Nitrification (nM/day),cost,weightNO3,iteration,Hybrid2 (nM/day),Feature,Denit from NO2- (nM/day)
PS1Surface,0.4864985802487584,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4268603001418158,0.3333333333333333,15,0.000300055516956,Surface,0.0
PS1Surface,0.4805229919101959,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4309191318939998,0.3333333333333333,7,0.0003369704571161,Surface,0.0
PS1Surface,0.4860148466442319,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4282177232334757,0.3333333333333333,16,0.0003303251295123,Surface,0.0
PS1Surface,0.4866125175684516,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4272804231781408,0.3333333333333333,12,0.000326657834808,Surface,0.0
PS1Surface,0.4860604659985437,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4281744939566836,0.3333333333333333,9,0.0003379334957807,Surface,0.0
PS1Surface,0.4807689783028113,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4308225477527811,0.3333333333333333,2,0.0003385248487163,Surface,0.0
PS1Surface,0.4853786284777681,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4286874810187872,0.3333333333333333,4,0.0003336782481898,Surface,0.0
PS1Surface,0.4860450577320804,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4282278946506946,0.3333333333333333,13,0.0003133356629814,Surface,0.0
PS1Surface,0.4860267732086534,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.42821496146158,0.3333333333333333,5,0.0003341798309013,Surface,0.0
PS1Surface,0.4851138196333626,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4288703677319024,0.3333333333333333,17,0.0003354932889178,Surface,0.0
PS1Surface,0.4863110752494315,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4279965817811024,0.3333333333333333,3,0.0003017635940966,Surface,0.0
PS1Surface,0.4804024469402231,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4309583973785196,0.3333333333333333,6,0.0003619794801491,Surface,0.0
PS1Surface,0.4865159582726195,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4275044599855753,0.3333333333333333,10,0.0003042616996054,Surface,0.0
PS1Surface,0.4865442333765328,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.427171946381061,0.3333333333333333,14,0.0003007652246892,Surface,0.0
PS1Surface,0.4865322881265586,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4276339982500773,0.3333333333333333,8,0.0003089519054496,Surface,0.0
PS1Surface,0.4854387532224817,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4286773194289434,0.3333333333333333,19,0.0003520282637345,Surface,0.0
PS1Surface,0.4858928256265051,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4283701166433492,0.3333333333333333,0,0.0003275745120539,Surface,0.0
PS1Surface,0.4850153836775306,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4289521784682923,0.3333333333333333,11,0.0003403602967825,Surface,0.0
PS1Surface,0.4864791355199972,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4269798005147691,0.3333333333333333,1,0.0002989086803958,Surface,0.0
PS1Surface,0.4859972066558925,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4282977675340085,0.3333333333333333,18,0.0003296542705203,Surface,0.0
PS1Surface,0.4866364508911228,0.3333333333333333,0.3333333333333333,0.0,PS1,,0.0,0.4274158662727473,0.3333333333333333,27,0.0003140711318552,Surface,0.0
