Key,Denit fromNO2- (nM/day),f,cost,Station,Denit from NO3- (nM/day),Nitrification (nM/day),weightNO3,weightNH4,iteration,Hybrid2 (nM/day),weightNO2,Feature,Denit from NO2- (nM/day)
PS3Deep ODZ core,,0.4103707062508147,2.499585964199144,PS3,0.0359144980966062,1.0180485825913611e-05,0.3333333333333333,0.3333333333333333,2,0.0300278647152973,0.3333333333333333,Deep ODZ core,0.0127735864486915
PS3Deep ODZ core,,0.4104099237775387,2.528205129381462,PS3,0.0338753638103739,2.458585281726384e-05,0.3333333333333333,0.3333333333333333,6,0.0290555487279996,0.3333333333333333,Deep ODZ core,0.0126265705180061
PS3Deep ODZ core,,0.408424546653979,3.158521289027991,PS3,0.0411544316392098,4.372192966561284e-05,0.3333333333333333,0.3333333333333333,4,0.0330756403099905,0.3333333333333333,Deep ODZ core,0.0133130663679985
PS3Deep ODZ core,,0.4104603286195135,2.714911323404412,PS3,0.0299082721226168,2.8530726549868733e-05,0.3333333333333333,0.3333333333333333,13,0.0299948406565573,0.3333333333333333,Deep ODZ core,0.0127513958576395
PS3Deep ODZ core,,0.4074000356157281,3.47346518457168,PS3,0.0343002484123483,3.854259520258413e-06,0.3333333333333333,0.3333333333333333,16,0.0344005155079797,0.3333333333333333,Deep ODZ core,0.014146731036057
PS3Deep ODZ core,,0.4103278644655257,3.091199371294183,PS3,0.0351005805092962,1.4142587701723402e-05,0.3333333333333333,0.3333333333333333,1,0.03206866339955,0.3333333333333333,Deep ODZ core,0.0124460354288969
PS3Deep ODZ core,,0.4086251468517545,2.715778233006068,PS3,0.0339861885158974,1.6828699381468844e-06,0.3333333333333333,0.3333333333333333,8,0.0323605745050718,0.3333333333333333,Deep ODZ core,0.0132674346833562
PS3Deep ODZ core,,0.4093992632025977,2.842488123523487,PS3,0.0370709371723591,1.1786427802487652e-05,0.3333333333333333,0.3333333333333333,7,0.0313551651395813,0.3333333333333333,Deep ODZ core,0.0127048999118775
PS3Deep ODZ core,,0.4095852389989578,2.8680849819112733,PS3,0.0299268073622092,1.338670117862803e-05,0.3333333333333333,0.3333333333333333,0,0.0333197566603649,0.3333333333333333,Deep ODZ core,0.0132292738951821
PS3Deep ODZ core,,0.4090727498719855,3.012629908254842,PS3,0.037766286452335,2.487616702262154e-06,0.3333333333333333,0.3333333333333333,5,0.0319517158834549,0.3333333333333333,Deep ODZ core,0.0126004792234375
PS3Deep ODZ core,,0.4089251131160401,2.655318180856969,PS3,0.0387996106099842,2.0270120326441404e-05,0.3333333333333333,0.3333333333333333,12,0.0302534543067982,0.3333333333333333,Deep ODZ core,0.0134410066353381
PS3Deep ODZ core,,0.4085547442750373,3.0270093858922547,PS3,0.0310873803847077,5.550796526441454e-07,0.3333333333333333,0.3333333333333333,19,0.0332298907982178,0.3333333333333333,Deep ODZ core,0.0134730341459006
PS3Deep ODZ core,,0.4094351158651291,2.6714269782612874,PS3,0.0436838473173407,1.817973149408004e-05,0.3333333333333333,0.3333333333333333,9,0.0305282323942486,0.3333333333333333,Deep ODZ core,0.0128411377153204
