Key,Denit from NO3- (nM/day),Denit fromNO2- (nM/day),f,Nitrification (nM/day),cost,weightNO2,Feature,Hybrid2 (nM/day),Station,weightNH4,weightNO3,iteration,Denit from NO2- (nM/day)
PS2SCM,0.5930702749554958,,0.3843751320774209,0.0,5.492304638992169,0.1,SCM,0.0598964571663098,PS2,0.45,0.45,65,0.0406315583778831
PS2SCM,0.7647037705312792,,0.3821640263690706,0.0,5.590822453410886,0.1,SCM,0.0558351585296069,PS2,0.45,0.45,67,0.0425776919595215
PS2SCM,0.681169071637088,,0.3795568795293442,0.0,5.385519657587072,0.1,SCM,0.0648213479912116,PS2,0.45,0.45,66,0.0429337498531592
PS2SCM,0.5759778483816083,,0.3950452767609179,0.0,4.357537243966457,0.1,SCM,0.0664392132670056,PS2,0.45,0.45,68,0.040479158510278
PS2SCM,0.6317675701465534,,0.5091668593372194,0.0,6.440143178617586,0.1,SCM,0.0356884721932912,PS2,0.45,0.45,69,0.0461564453708477
PS2SCM,1.0145964289265226,,0.0,0.0,7.7774977447042914,0.1,SCM,0.03314629469264,PS2,0.45,0.45,80,0.0427228979949065
PS2SCM,0.7956308533988281,,0.0,0.0,7.967029169329356,0.1,SCM,0.0345944893118116,PS2,0.45,0.45,81,0.0420299257809349
PS2SCM,0.836508171302414,,0.3936391526102292,0.0,5.916568276262929,0.1,SCM,0.0521068941826182,PS2,0.45,0.45,71,0.0423929819203449
PS2SCM,0.6023716226361865,,0.3845227364417882,0.0,5.286259507590666,0.1,SCM,0.0619426796622625,PS2,0.45,0.45,74,0.0404721328490053
PS2SCM,0.7352079765895753,,0.5077330896614902,0.0,6.43608873386291,0.1,SCM,0.0326766162753584,PS2,0.45,0.45,75,0.0419786277447268
PS2SCM,0.6325441530341113,,0.3838808723369505,0.0,5.481946547865307,0.1,SCM,0.0639604639831588,PS2,0.45,0.45,77,0.0415278989179179
PS2SCM,0.4647668294011072,,0.3842432340301386,0.0,5.639239127616827,0.1,SCM,0.0610422705365113,PS2,0.45,0.45,72,0.0412219987916609
PS2SCM,0.6373186582363313,,0.3920269671671882,0.0,5.598563304279075,0.1,SCM,0.0602976558123713,PS2,0.45,0.45,78,0.0446756214210994
PS2SCM,0.5830463671406864,,0.3969426231076674,0.0,5.0741889427033655,0.1,SCM,0.0642445765289017,PS2,0.45,0.45,73,0.041150443023629
PS2SCM,0.6222975842481263,,0.3989649183617222,0.0,5.034096557823588,0.1,SCM,0.0650725544420357,PS2,0.45,0.45,70,0.0418394470119626
PS2SCM,0.5059639721720712,,0.3982435686756742,0.0,4.846898988674774,0.1,SCM,0.062962999810404,PS2,0.45,0.45,84,0.0412292140093679
PS2SCM,0.7707129035941945,,0.3896353272662698,0.0,4.979693773467273,0.1,SCM,0.0671373107943305,PS2,0.45,0.45,89,0.0415916732004202
PS2SCM,0.523368391289332,,0.3974984858117341,0.0,4.992251298830544,0.1,SCM,0.0676721813827837,PS2,0.45,0.45,82,0.0426170474656658
PS2SCM,0.7867307921615717,,0.3828844034510613,0.0,5.363409120035682,0.1,SCM,0.0632498471705105,PS2,0.45,0.45,90,0.0413859438481439
PS2SCM,0.6709145079242352,,0.3809463177745774,0.0,5.239887784787579,0.1,SCM,0.0672263194705642,PS2,0.45,0.45,85,0.0440961416526013
PS2SCM,0.6260444948484779,,0.4200486056232935,0.0,5.830214140414845,0.1,SCM,0.0543503906639074,PS2,0.45,0.45,79,0.0440956766097919
PS2SCM,0.6207825049606889,,0.4094269320810425,0.0,5.865902215175949,0.1,SCM,0.0579805209913974,PS2,0.45,0.45,83,0.0431209950008121
PS2SCM,0.7569174480796241,,0.3784674857494663,0.0,5.956152572795188,0.1,SCM,0.0552113705170645,PS2,0.45,0.45,86,0.0427066457154205
PS2SCM,0.8533151667927302,,0.0,0.0,8.227072798690925,0.1,SCM,0.0164506352436629,PS2,0.45,0.45,99,0.0438966988161906
PS2SCM,0.6037153005793744,,0.3844297144364875,0.0,5.208790241709627,0.1,SCM,0.06213643566388,PS2,0.45,0.45,87,0.0418179560287786
PS2SCM,0.761935271919158,,0.4878683354714652,0.0,6.133249910186359,0.1,SCM,0.0393414421647637,PS2,0.45,0.45,91,0.0417838798969533
PS2SCM,0.6575329613142394,,0.4621791634478797,0.0,6.003616546800332,0.1,SCM,0.0446102352651624,PS2,0.45,0.45,92,0.0429210427991822
PS2SCM,0.6144765045310746,,0.3875211186222295,0.0,5.041569630512189,0.1,SCM,0.0614659237787432,PS2,0.45,0.45,88,0.0412003146313444
PS2SCM,0.829778203461375,,0.3793468957561251,0.0,5.645264464279592,0.1,SCM,0.0571527973740286,PS2,0.45,0.45,94,0.0412297091263703
PS2SCM,0.8098499673191607,,0.4864603323995283,0.0,6.426589281893723,0.1,SCM,0.0359687151576988,PS2,0.45,0.45,95,0.0421664257233897
PS2SCM,0.7620880760073409,,0.4073932660604813,0.0,5.459671719536209,0.1,SCM,0.0581941258670807,PS2,0.45,0.45,96,0.0404607309963621
PS2SCM,0.7352279702485746,,0.3958347256055898,0.0,4.81794901702445,0.1,SCM,0.06438750561455,PS2,0.45,0.45,98,0.0414273215031735
PS2SCM,0.8166429548134477,,0.3797552510383364,0.0,5.921402941804912,0.1,SCM,0.0600604602487257,PS2,0.45,0.45,93,0.0443395108786235
PS2SCM,0.5956603658042687,,0.5094249153770889,0.0,6.624980523477919,0.1,SCM,0.029407393100104814,PS2,0.45,0.45,97,0.04467452165268219
