Key,cost,Hybrid2 (nM/day),Feature,f,weightNO3,Nitrification (nM/day),Denit from NO3- (nM/day),weightNO2,iteration,Denit fromNO2- (nM/day),Station,weightNH4,Denit from NO2- (nM/day)
PS2SNM,6.719813057571205,0.0091770852318405,SNM,0.4579793497759095,0.45,1.3195132652219075e-05,0.2959902783729313,0.1,19,,PS2,0.45,0.0794358470936153
PS2SNM,7.276720401779846,0.0075942807565216,SNM,0.4549579755460476,0.45,9.22668681017068e-05,0.4270226393689078,0.1,7,,PS2,0.45,0.0644200637471073
PS2SNM,6.967419943261293,0.0058042825126023,SNM,0.4364917153192198,0.45,4.580673818902748e-06,0.3166765363243867,0.1,17,,PS2,0.45,0.0823665217489116
PS2SNM,6.975113761696612,0.0065069581365016,SNM,0.4382004382071739,0.45,0.001903523822794,0.2973361198048039,0.1,18,,PS2,0.45,0.0670061048179307
PS2SNM,6.590520343662321,0.0050154504188248,SNM,0.450701172137466,0.45,0.0016096524399418,0.3216862794217932,0.1,3,,PS2,0.45,0.0868842760014129
PS2SNM,6.957322604601174,0.005664846865736,SNM,0.4443212334337699,0.45,0.0019164742752482,0.459903644375385,0.1,11,,PS2,0.45,0.0687770304209321
PS2SNM,6.6142370639733645,0.0049864009298622,SNM,0.4402002546670128,0.45,0.0016840914168866,0.2793490939287649,0.1,9,,PS2,0.45,0.0829523385225586
PS2SNM,7.194705947281994,0.0083009189153982,SNM,0.448854422738869,0.45,0.0025339614958948,0.3276831861221626,0.1,16,,PS2,0.45,0.0577755329396083
PS2SNM,6.867993255565898,0.0055286640027265,SNM,0.439663149582889,0.45,0.0017386344382905,0.3087582192969392,0.1,14,,PS2,0.45,0.071797935195185
PS2SNM,7.046434686206943,0.0061058132518952,SNM,0.4396151466979982,0.45,0.0024779381453315,0.2995843893171693,0.1,15,,PS2,0.45,0.0672019588389596
PS2SNM,7.291154806926217,0.0044525908977649,SNM,0.4334583765282231,0.45,0.0014399845373524,0.3301679956172146,0.1,6,,PS2,0.45,0.0654631250763828
PS2SNM,7.1696730221948135,0.0055532956071708,SNM,0.4510708781445832,0.45,0.0016992423604314,0.3279180154437012,0.1,2,,PS2,0.45,0.0633725061157699
PS2SNM,7.148884340170891,0.0052158599213289,SNM,0.4506304809848608,0.45,0.001804948042631,0.2847993884825697,0.1,0,,PS2,0.45,0.068663520621484
PS2SNM,6.562572199536395,0.0113550845971778,SNM,0.4510193122410992,0.45,0.0031054654608896,0.2888180717521673,0.1,5,,PS2,0.45,0.0775338015851121
PS2SNM,7.463710913500849,0.0048928383890073,SNM,0.4391738294598548,0.45,0.0020229289109769,0.2668048175325365,0.1,13,,PS2,0.45,0.0654829839166025
PS2SNM,6.9004710920002745,0.0105215796206327,SNM,0.4429202030422201,0.45,0.0025523206101879,0.4194937137431775,0.1,10,,PS2,0.45,0.0582420978323016
PS2SNM,7.0810644734437584,0.0053133546034519,SNM,0.4522930390558607,0.45,0.001435327548945,0.4071202675113068,0.1,12,,PS2,0.45,0.0717031146196235
PS2SNM,6.9747363813850605,0.0042952853735635,SNM,0.4401174920150719,0.45,0.0013826247562154,0.2878854285163767,0.1,4,,PS2,0.45,0.0745001738747705
PS2SNM,6.62098645489576,0.0090739919628829,SNM,0.4578242050959499,0.45,0.0023998085248916,0.2503136995313521,0.1,1,,PS2,0.45,0.0752743422408466
PS2SNM,7.055469072901133,0.0101268898144213,SNM,0.4568081280784497,0.45,0.002415702653945,0.32412242266729,0.1,8,,PS2,0.45,0.0622529134825359
PS2SNM,7.429790603421862,0.0048893569805262,SNM,0.4385613704847678,0.45,8.480843353225941e-05,0.2700016248998094,0.1,23,,PS2,0.45,0.0619968757438801
PS2SNM,7.480217695441727,0.0060425778939659,SNM,0.4407980451545896,0.45,0.0,0.4063350337384752,0.1,26,,PS2,0.45,0.0625053969943266
PS2SNM,7.073350551023888,0.0057485114974729,SNM,0.4528762546788817,0.45,0.001379501769777,0.3794504877225804,0.1,20,,PS2,0.45,0.0628735063398439
PS2SNM,7.190412719959216,0.0079968125437543,SNM,0.4585413257153615,0.45,0.0025005638199009,0.3576636566528611,0.1,22,,PS2,0.45,0.0657589755305961
PS2SNM,7.075605248205353,0.0046308170081811,SNM,0.4247578844886728,0.45,1.780018740344399e-06,0.4016262288774759,0.1,27,,PS2,0.45,0.0709984660712428
PS2SNM,7.318709355236725,0.0055135899650229,SNM,0.453614844155888,0.45,0.0018670399431605,0.3580730840440378,0.1,21,,PS2,0.45,0.0631174784507624
PS2SNM,7.470492202726245,0.0060028532058417,SNM,0.4447914296665827,0.45,0.0015935041609309,0.3101714331708768,0.1,25,,PS2,0.45,0.0549310749433558
PS2SNM,6.708358961682517,0.0044947699803661,SNM,0.417745366125385,0.45,0.0023283836786596,0.3213591838871593,0.1,32,,PS2,0.45,0.0839375826827849
PS2SNM,7.6039293735166815,0.0014415588445842,SNM,1.0,0.45,0.0014298609270147,0.4464531704548066,0.1,39,,PS2,0.45,0.0635006606228715
PS2SNM,7.331356429536725,0.005503955782719,SNM,0.4510848971522616,0.45,0.0013523735114267,0.2816825509916712,0.1,31,,PS2,0.45,0.0567188086737279
PS2SNM,7.269174736663317,0.0050175728863642,SNM,0.439971337913654,0.45,0.001384765168256,0.346250450455248,0.1,24,,PS2,0.45,0.0677035689410313
PS2SNM,7.161514718148634,0.0069217204350594,SNM,0.4498421190514484,0.45,0.0021713853046537,0.3459676527525837,0.1,28,,PS2,0.45,0.0679935536346931
