Key,iteration,weightNO3,Hybrid2 (nM/day),f,Denit from NO3- (nM/day),cost,weightNO2,Feature,weightNH4,Station,Denit fromNO2- (nM/day),Nitrification (nM/day),Denit from NO2- (nM/day)
PS1SCM,19,0.8,0.024378237678775,0.4988260441400712,0.1686665923408291,28.43499434247201,0.1,SCM,0.1,PS1,,0.0002387908957192,0.001314854260418
PS1SCM,10,0.8,0.0254766549462894,0.4987469357162973,0.1701048768984332,28.368282440974383,0.1,SCM,0.1,PS1,,0.0002221890318196,0.0013308713082921
PS1SCM,8,0.8,0.0270960552618963,0.4984359153796853,0.1730917833294633,28.478343981355486,0.1,SCM,0.1,PS1,,0.0001477948700444,0.0013675621319946
PS1SCM,13,0.8,0.0240841841657559,0.4988189147660667,0.2200673277897834,28.39977342493567,0.1,SCM,0.1,PS1,,9.656121006703396e-05,0.001333915879168
PS1SCM,11,0.8,0.0278006067733731,0.4986394243519314,0.1531396021541427,28.44321234692028,0.1,SCM,0.1,PS1,,0.0,0.001307224572679
PS1SCM,4,0.8,0.0259111621595381,0.4984233892800654,0.1944659901602287,28.43747892287457,0.1,SCM,0.1,PS1,,1.7553362937959996e-06,0.0014389723009385
PS1SCM,6,0.8,0.0241063332966167,0.4989536094062649,0.1866603472029917,28.36040728052724,0.1,SCM,0.1,PS1,,0.0001688620500691,0.0013340730744702
PS1SCM,18,0.8,0.0269046549224631,0.49835567201501,0.1549926599609275,28.52498821980525,0.1,SCM,0.1,PS1,,0.0,0.0013181573220323
PS1SCM,1,0.8,0.0267973722327142,0.4982869381127139,0.1731256803897188,28.508498781113094,0.1,SCM,0.1,PS1,,0.000252924384425,0.0013621340856977
PS1SCM,16,0.8,0.025768465053157,0.4988059531959947,0.1512708683480051,28.40673178697349,0.1,SCM,0.1,PS1,,0.0001979299233408,0.0013470027930326
PS1SCM,3,0.8,0.028289828649344,0.4975777584253046,0.1481073006723342,28.63848475852619,0.1,SCM,0.1,PS1,,0.0001147607509377,0.0013896411830146
PS1SCM,7,0.8,0.0266219575514447,0.4987607585325988,0.1466645200094463,28.38591512728069,0.1,SCM,0.1,PS1,,0.0002217305786866,0.0013521323465501
PS1SCM,0,0.8,0.0254290140865542,0.4986105732453385,0.1669640957183872,28.472721693103125,0.1,SCM,0.1,PS1,,0.0001697397030277,0.0013457873739089
PS1SCM,17,0.8,0.0248334687806573,0.4986586394491583,0.1822066424557612,28.450347420060154,0.1,SCM,0.1,PS1,,0.0001427315343855,0.0013068449856122
