Key,cost,f,Nitrification (nM/day),iteration,weightNH4,Feature,weightNO2,weightNO3,Denit from NO3- (nM/day),Denit fromNO2- (nM/day),Station,Hybrid2 (nM/day),Denit from NO2- (nM/day)
PS3SNM,24.15243043421652,1.0,0.0001476074266495,18,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.7276929111518092,,PS3,0.0002452151854999,0.0415691841991587
PS3SNM,23.84484503803404,1.0,0.0001724465955346,7,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.5433611055468716,,PS3,0.0,0.0441978870874256
PS3SNM,22.5989753157989,1.0,0.000497135503537,6,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.7020140157432154,,PS3,0.0752602460145443,0.0379158341700201
PS3SNM,20.444502577589464,0.9999451875616648,0.0008545336575741,4,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.815184187731454,,PS3,0.0864293109049233,0.0305657528981003
PS3SNM,21.06297843270696,1.0,0.0003898791750838,15,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.6322468365797422,,PS3,0.0844832606165251,0.028258904698349
PS3SNM,21.527411077216883,0.9998350244862502,0.0005734144740175,13,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.6117521317646892,,PS3,0.0788574135494199,0.0364710385618534
PS3SNM,21.66063354994288,1.0,0.0005832502943298,19,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.5195339309598302,,PS3,0.0780291499378682,0.0304278900414035
PS3SNM,21.581461613876737,1.0,1.1724535428198104e-06,1,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.4828344112731901,,PS3,0.0827608981876288,0.0344777263146149
PS3SNM,23.83041655361252,0.6958983795213136,0.0001153465583631,2,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.5469177782932426,,PS3,0.0,0.0384760547068421
PS3SNM,24.055524955335912,0.8306961670171662,0.0001894598216784,10,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.7239976579117046,,PS3,0.0,0.0450813968675929
PS3SNM,20.99795742391464,0.9999522612543856,3.1788539849588173e-06,14,0.3333333333333333,SNM,0.3333333333333333,0.3333333333333333,0.7691937288263478,,PS3,0.0814929153932962,0.0382017914019135
