Key,cost,Denit fromNO2- (nM/day),weightNH4,iteration,f,Nitrification (nM/day),weightNO3,weightNO2,Hybrid2 (nM/day),Station,Feature,Denit from NO3- (nM/day),Denit from NO2- (nM/day)
PS3SCM,29.069963962754183,,0.45,10,5.447030684633233e-05,0.0049508609029573,0.45,0.1,0.1460984604639188,PS3,SCM,1.5526800678073909,0.4634155085571379
PS3SCM,28.877536045842888,,0.45,8,0.0,0.0100313038783439,0.45,0.1,0.1399238860325394,PS3,SCM,1.801475409115037,0.4747393449413317
PS3SCM,30.32975073330985,,0.45,0,0.4263606258942126,0.0057117925815868,0.45,0.1,0.1495494510510382,PS3,SCM,1.038877941902275,0.4661957656201708
PS3SCM,30.620321308903137,,0.45,19,0.4455542320833801,0.0052191273290202,0.45,0.1,0.1345549802754765,PS3,SCM,1.180482001831866,0.5576910178546698
PS3SCM,30.398213805416106,,0.45,4,0.4245896745065535,0.00638677082531,0.45,0.1,0.129964424621491,PS3,SCM,1.6899739598168306,0.5133091982499502
PS3SCM,30.13075378614476,,0.45,1,0.373480174141629,0.0066687508601115,0.45,0.1,0.1878210398225607,PS3,SCM,1.3887884049801285,0.5163518740752079
PS3SCM,30.208509313104383,,0.45,11,0.3990122534540236,0.0078472565756014,0.45,0.1,0.1713033584887476,PS3,SCM,1.7365571781644686,0.5009566600855576
PS3SCM,30.68793016427334,,0.45,15,0.4562066645430547,0.0062729945139369,0.45,0.1,0.112805007139637,PS3,SCM,1.893246161483282,0.5380769539020983
PS3SCM,30.606975942578902,,0.45,13,0.4434096213534949,0.0081961835113161,0.45,0.1,0.1327561771587979,PS3,SCM,1.391739217187378,0.5706370494045371
PS3SCM,30.340094063018466,,0.45,16,0.3906520322386344,0.0088643714327319,0.45,0.1,0.1746381002174439,PS3,SCM,1.5457701708264866,0.4747541289826409
PS3SCM,30.720065652396563,,0.45,9,0.4220278138223275,0.0066481823735999,0.45,0.1,0.1415096641702617,PS3,SCM,1.4760095920125138,0.5614045832250195
PS3SCM,30.065380334209745,,0.45,7,0.3731658382600559,0.0097011311732656,0.45,0.1,0.1792202896342822,PS3,SCM,2.032480447407474,0.5122763855164669
PS3SCM,30.39756184707548,,0.45,2,0.3971728884411756,0.0080304541959348,0.45,0.1,0.1765992338962173,PS3,SCM,1.761933137127463,0.5313517105069329
PS3SCM,30.4897755913753,,0.45,17,0.4376111074098718,0.0067057820531404,0.45,0.1,0.1283727512045156,PS3,SCM,1.568897467288484,0.5542050804922735
PS3SCM,30.08489248029641,,0.45,3,0.3482780195854386,0.0083166973004744,0.45,0.1,0.1744533392806001,PS3,SCM,1.5715228663311558,0.4600295423666037
