Key,Nitrification (nM/day),Denit fromNO2- (nM/day),iteration,Feature,f,weightNO3,Denit from NO3- (nM/day),weightNO2,Hybrid2 (nM/day),cost,weightNH4,Station,Denit from NO2- (nM/day)
PS3Interface2,0.0,,14,Interface2,0.0,0.45,0.4344965069673481,0.1,0.1845659763006799,69.82788894419102,0.45,PS3,0.0011309714141438
PS3Interface2,0.0,,12,Interface2,0.0,0.45,1.366112904874927,0.1,0.1470331108401757,44.062824176177294,0.45,PS3,0.0049796641049493
PS3Interface2,0.0,,9,Interface2,0.0,0.45,1.892769888703814,0.1,0.1458770962659066,46.42786924762608,0.45,PS3,0.0177559763598306
PS3Interface2,0.0,,17,Interface2,0.0,0.45,2.474989492373463,0.1,0.0753889949080958,48.08528621106538,0.45,PS3,0.0
PS3Interface2,0.0,,10,Interface2,0.0,0.45,1.7162749684247858,0.1,0.1372029408747344,47.08461020618945,0.45,PS3,0.0
PS3Interface2,0.0,,0,Interface2,0.5300346704503307,0.45,1.479845513398119,0.1,0.3457619225583442,40.52024597866991,0.45,PS3,0.0031659079474547
PS3Interface2,0.0,,20,Interface2,0.0,0.45,1.283728440612549,0.1,0.1313157008088744,47.15560509900124,0.45,PS3,0.0004252329154917
PS3Interface2,1.1071894605343727e-05,,18,Interface2,0.4964130595172993,0.45,1.4262213046030745,0.1,0.215767317083333,28.61153445327765,0.45,PS3,0.0013370754163335
PS3Interface2,0.0,,7,Interface2,0.4965632628466433,0.45,1.7076299819757326,0.1,0.2482167440910336,31.915762818725668,0.45,PS3,0.003903191917505
PS3Interface2,0.0,,22,Interface2,0.0,0.45,1.7811088107187576,0.1,0.1671781497829206,50.71728099060916,0.45,PS3,9.93308753457362e-05
PS3Interface2,0.0,,3,Interface2,0.527242702311732,0.45,2.1596343019012822,0.1,0.1982029346015755,31.897207900061822,0.45,PS3,0.0099594060679246
PS3Interface2,0.0,,4,Interface2,0.4961832125122204,0.45,1.792870910400494,0.1,0.1985653170706725,27.036720202896003,0.45,PS3,0.000215885403162
PS3Interface2,0.0,,8,Interface2,0.4962793067765373,0.45,1.7187647387346685,0.1,0.2115194553366327,28.03019330748281,0.45,PS3,0.0
PS3Interface2,0.0,,15,Interface2,0.4847815782623079,0.45,2.1185246475828694,0.1,0.1835310957704598,36.39344574562397,0.45,PS3,5.578624763627959e-05
PS3Interface2,0.0,,11,Interface2,0.4964659000407918,0.45,1.478444826853217,0.1,0.2781162416791604,32.98053584815143,0.45,PS3,0.0
PS3Interface2,6.521060729726953e-05,,1,Interface2,0.4962996960875075,0.45,1.555058797768084,0.1,0.2023202395519353,28.807650837325824,0.45,PS3,1.3776597665431888e-05
PS3Interface2,0.0,,24,Interface2,0.0,0.45,1.5601005009805995,0.1,0.1349803188028455,48.685562302748544,0.45,PS3,0.0046356760802087
PS3Interface2,0.0,,5,Interface2,0.4965731674942916,0.45,1.763234361164656,0.1,0.2776918573234693,33.66119485351233,0.45,PS3,0.0
PS3Interface2,0.0,,26,Interface2,0.0,0.45,1.6746517928368707,0.1,0.1175735912500845,46.186692010780206,0.45,PS3,0.0131908632752034
PS3Interface2,0.0,,19,Interface2,0.4964556299468111,0.45,2.4701432064372555,0.1,0.3258040307548467,40.13824413028836,0.45,PS3,0.0
PS3Interface2,0.0,,23,Interface2,0.4963593669314273,0.45,2.3298500046636086,0.1,0.2174134734650115,31.94354195117066,0.45,PS3,0.0
PS3Interface2,0.0,,21,Interface2,0.4964879988154005,0.45,1.7179616780180096,0.1,0.2897155050740294,33.37189119207585,0.45,PS3,0.0133057132694746
PS3Interface2,0.0,,36,Interface2,0.0,0.45,1.908537881383504,0.1,0.11458277143308,51.9334588070903,0.45,PS3,0.0
PS3Interface2,0.0,,31,Interface2,0.4963649275563653,0.45,1.293741620269358,0.1,0.2488130734625815,30.653378630376665,0.45,PS3,0.0050449206886184
PS3Interface2,0.0,,25,Interface2,0.4969704937345277,0.45,1.4868248282430745,0.1,0.3321674123514518,36.03101292688496,0.45,PS3,0.0075797375451874
PS3Interface2,0.0,,6,Interface2,0.4969865894329396,0.45,1.476594077789963,0.1,0.3132514517821663,35.98416366417529,0.45,PS3,0.0190228606792336
PS3Interface2,0.0,,32,Interface2,0.4961008313939248,0.45,2.0116515635589907,0.1,0.208376157197599,32.386484208659496,0.45,PS3,0.0472985938804926
PS3Interface2,0.0,,30,Interface2,0.4793115020492574,0.45,2.1550131185944843,0.1,0.1981990109908948,36.92993836468408,0.45,PS3,0.0
PS3Interface2,0.0,,27,Interface2,0.4973052261127358,0.45,1.5497433248018275,0.1,0.3297847722770549,37.96856517897092,0.45,PS3,0.0122953819863774
PS3Interface2,0.0,,28,Interface2,0.5404452516804018,0.45,1.7039263883241933,0.1,0.2561402277212207,35.99904823351612,0.45,PS3,0.0
PS3Interface2,0.0,,29,Interface2,0.4967482062778705,0.45,1.1205887814827888,0.1,0.3782133111619598,40.38169150985652,0.45,PS3,0.0055449823771865
PS3Interface2,0.0004127000239409,,33,Interface2,0.4976929068177199,0.45,1.38360120204531,0.1,0.3137054310655036,37.23442093034814,0.45,PS3,0.0077305964207427
PS3Interface2,0.0,,2,Interface2,0.4978843910934507,0.45,1.2508714750228342,0.1,0.3159400860399344,34.916124957718424,0.45,PS3,0.0190343612462136
