Key,weightNO2,Denit from NO3- (nM/day),Nitrification (nM/day),f,iteration,Feature,Station,weightNH4,Denit fromNO2- (nM/day),cost,Hybrid2 (nM/day),weightNO3,Denit from NO2- (nM/day)
PS2Interface,0.1,0.0757493484948718,0.0004250594443505,0.4333546994044966,13,Interface,PS2,0.45,,9.876149304878698,0.0519149979361246,0.45,0.0085618144386525
PS2Interface,0.1,0.0659581393339372,0.0004251590052218,0.3324556168246418,9,Interface,PS2,0.45,,9.944540641209253,0.0483968705437298,0.45,0.0087805966956557
PS2Interface,0.1,0.0762678464115422,0.0004845083469841,0.4006432527521149,8,Interface,PS2,0.45,,9.885050735403516,0.051219544544983,0.45,0.0089106915412691
PS2Interface,0.1,0.076524678302892,0.0003723812156766,0.5200657855986792,10,Interface,PS2,0.45,,9.808439260685354,0.0601601936403651,0.45,0.0086643216283798
PS2Interface,0.1,0.069510006908136,0.0005597500982457,0.0,19,Interface,PS2,0.45,,10.627886891565652,0.0209733137836031,0.45,0.0094307822389998
PS2Interface,0.1,0.0599795972176754,0.0003038567913404,0.3195748368197421,14,Interface,PS2,0.45,,9.909153862662158,0.0440717160783709,0.45,0.0090127774000517
PS2Interface,0.1,0.0594741278239156,0.0004132671851773,0.0547154784357807,0,Interface,PS2,0.45,,10.26251103315422,0.0292526039859258,0.45,0.008875052889682
PS2Interface,0.1,0.0739702473929854,0.0003000950973728,0.2239419863458343,15,Interface,PS2,0.45,,9.908055418722236,0.040264367482138,0.45,0.0090244305473157
PS2Interface,0.1,0.0598298020519925,0.0004291881886713,0.3860456300007191,18,Interface,PS2,0.45,,9.8806569686968,0.04842908454054,0.45,0.0090097327031177
PS2Interface,0.1,0.0696898139784806,0.00052194999694,0.511510492369676,21,Interface,PS2,0.45,,9.823324839364624,0.0577711883203788,0.45,0.008567407500816
PS2Interface,0.1,0.0959920731766445,0.0004815251119477,0.0302426231701959,20,Interface,PS2,0.45,,10.396606631537283,0.0269826285185218,0.45,0.0089720688719582
PS2Interface,0.1,0.065392182100382,0.0005596121854496,0.1178089003184951,17,Interface,PS2,0.45,,10.008533880473369,0.0367680980064955,0.45,0.0088032472016799
PS2Interface,0.1,0.0674203598020795,0.0006623183057798,0.0864718131081106,12,Interface,PS2,0.45,,10.16532192759076,0.0367313050318998,0.45,0.0089078273077589
PS2Interface,0.1,0.0705197080406055,0.0003579954037286,0.0717992608239602,5,Interface,PS2,0.45,,10.142441209301102,0.032558096993352,0.45,0.0087134627351637
PS2Interface,0.1,0.0728824813955575,0.0004437851951935,0.0978593105068932,11,Interface,PS2,0.45,,10.034284162077313,0.0365840147961782,0.45,0.0090852739281069
PS2Interface,0.1,0.0650018467552911,0.0004809999709145,0.3970107281205608,27,Interface,PS2,0.45,,9.889490254423135,0.0486247297994888,0.45,0.0086033227413309
PS2Interface,0.1,0.0850030979745237,0.0005793147544399,0.3136950859435312,24,Interface,PS2,0.45,,9.8831853685679,0.0444234819977347,0.45,0.008850019105707
PS2Interface,0.1,0.0699398273968765,0.0004740849236721,0.0241389214580349,7,Interface,PS2,0.45,,10.440432005362402,0.026298385469156,0.45,0.009240910953784
PS2Interface,0.1,0.0897864228991908,0.000299814692187,0.263523821946899,31,Interface,PS2,0.45,,9.963447560484802,0.0440158273227289,0.45,0.0089747508338653
PS2Interface,0.1,0.0748597144778232,0.0004124723730285,0.5200378429546768,34,Interface,PS2,0.45,,9.732966723262738,0.0601531756657238,0.45,0.0085594723105923
PS2Interface,0.1,0.068386774663581,0.0003907402602761,0.3711994772459179,32,Interface,PS2,0.45,,9.88435958693704,0.0472518479571687,0.45,0.008682919552734
PS2Interface,0.1,0.0675450636205474,0.000115793938353,0.1579925807756062,6,Interface,PS2,0.45,,10.003667892623344,0.0398408614629931,0.45,0.0092120933809338
PS2Interface,0.1,0.0682019921185888,0.0003801557592053,0.0111367601735462,25,Interface,PS2,0.45,,10.544718752369882,0.022987006519164,0.45,0.0093691319118528
PS2Interface,0.1,0.0560288099220087,0.0004715524822729,0.1364181602676268,26,Interface,PS2,0.45,,9.946997968762206,0.0369344885468602,0.45,0.0090815402325633
PS2Interface,0.1,0.072390231880946,0.0005818236822323,0.4279136933912156,3,Interface,PS2,0.45,,9.876091086987966,0.0530079333279456,0.45,0.0091274939839535
PS2Interface,0.1,0.0789291285378734,0.0006252932533805,0.262754956504698,1,Interface,PS2,0.45,,9.892283139309049,0.0401529905518026,0.45,0.0085569533104654
